batch_id,item_id,source_file,line_no,matched_text,pattern_family,referenced_path,referenced_exists,risk,remediation
CL-MIG-001,MIG-0006,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,380,CRISIS_LITURGIES_V_,LEGACY_TOPOLOGY_REF,CRISIS_LITURGIES_V_,unknown,WARN,LEAVE
CL-MIG-001,MIG-0007,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,39,00_CHACHIPTI_PRODUCTION_LANE,LEGACY_TOPOLOGY_REF,00_CHACHIPTI_PRODUCTION_LANE,unknown,WARN,LEAVE
CL-MIG-001,MIG-0009,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,9,00_CHACHIPTI_PRODUCTION_LANE,LEGACY_TOPOLOGY_REF,00_CHACHIPTI_PRODUCTION_LANE,unknown,WARN,LEAVE
CL-MIG-001,MIG-0011,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,86,C:\\Users\\steve\\Projects\\gradient-institution\\CRISIS_LITURGIES\\EXPANSION_VOLUMES\\CL-EV-001_THE_PYGMALION_MACHINE,ABS_PATH,C:\\Users\\steve\\Projects\\gradient-institution\\CRISIS_LITURGIES\\EXPANSION_VOLUMES\\CL-EV-001_THE_PYGMALION_MACHINE,true,WARN,LEAVE
CL-MIG-001,MIG-0011,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,86,EXPANSION_VOLUMES,LEGACY_TOPOLOGY_REF,EXPANSION_VOLUMES,unknown,WARN,LEAVE
CL-MIG-001,MIG-0011,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,108,C:\\Users\\steve\\My,ABS_PATH,C:\\Users\\steve\\My,false,WARN,LEAVE
CL-MIG-001,MIG-0011,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,108,The Gradient\,DRIVE_ROOT_REF,The Gradient\,unknown,WARN,LEAVE
CL-MIG-001,MIG-0011,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,119,CRISIS_LITURGIES_V_,LEGACY_TOPOLOGY_REF,CRISIS_LITURGIES_V_,unknown,WARN,LEAVE
CL-MIG-001,MIG-0011,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,130,CRISIS_LITURGIES_V_,LEGACY_TOPOLOGY_REF,CRISIS_LITURGIES_V_,unknown,WARN,LEAVE
CL-MIG-001,MIG-0014,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00B_CURSOR_DISK_INVENTORY_RECONCILIATION_2026-07-13.md,47,CRISIS_LITURGIES_V_,LEGACY_TOPOLOGY_REF,CRISIS_LITURGIES_V_,unknown,WARN,LEAVE
CL-MIG-001,MIG-0016,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,15,C:\Users\steve\My,ABS_PATH,C:\Users\steve\My,false,WARN,LEAVE
CL-MIG-001,MIG-0016,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00C_PACKAGE_INTEGRITY_PATCH_PACKET_2026-07-13.md,15,My Drive\The Gradient,DRIVE_ROOT_REF,My Drive\The Gradient,unknown,WARN,LEAVE
CL-MIG-001,MIG-0020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.md,44,C:\Users\steve\Projects\gradient-institution,ABS_PATH,C:\Users\steve\Projects\gradient-institution,true,WARN,LEAVE
CL-MIG-001,MIG-0020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.md,50,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,ABS_PATH,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES,true,WARN,LEAVE
CL-MIG-001,MIG-0020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02_PLANNING\CL_PHASE_01_PORTABLE_AUTHORITY_SOURCES_2026-07-13\04_PHASE_CLOSURES\CL_PHASE_01_FINAL_CLOSURE_RECORD_v1.0.md,56,C:\Users\steve\My,ABS_PATH,C:\Users\steve\My,false,WARN,LEAVE
