batch_id,source_file,line_no,matched_text,pattern_family,referenced_path,referenced_exists,planned_target_if_any,risk,remediation
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,179,C:\\Users\\steve\\Projects\\gradient-institution.,ABS_PATH,C:\\Users\\steve\\Projects\\gradient-institution.,true,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,180,C:\\Users\\steve\\My,ABS_PATH,C:\\Users\\steve\\My,false,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,180,The Gradient\,DRIVE_ROOT_REF,The Gradient\,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_CONFLICT_LEDGER_2026-07-13.json,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,23,00_CHACHIPTI_PRODUCTION_LANE,LEGACY_TOPOLOGY_REF,00_CHACHIPTI_PRODUCTION_LANE,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,25,00_CHACHIPTI_PRODUCTION_LANE,LEGACY_TOPOLOGY_REF,00_CHACHIPTI_PRODUCTION_LANE,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,380,CRISIS_LITURGIES_V_,LEGACY_TOPOLOGY_REF,CRISIS_LITURGIES_V_,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,380,CRISIS_LITURGIES_V_,LEGACY_TOPOLOGY_REF,CRISIS_LITURGIES_V_,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.json,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,39,00_CHACHIPTI_PRODUCTION_LANE,LEGACY_TOPOLOGY_REF,00_CHACHIPTI_PRODUCTION_LANE,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_MASTER_EVIDENCE_REGISTER_2026-07-13.md,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,9,00_CHACHIPTI_PRODUCTION_LANE,LEGACY_TOPOLOGY_REF,00_CHACHIPTI_PRODUCTION_LANE,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_QUARANTINE_REGISTER_2026-07-13.json,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,86,C:\\Users\\steve\\Projects\\gradient-institution\\CRISIS_LITURGIES\\EXPANSION_VOLUMES\\CL-EV-001_THE_PYGMALION_MACHINE,ABS_PATH,C:\\Users\\steve\\Projects\\gradient-institution\\CRISIS_LITURGIES\\EXPANSION_VOLUMES\\CL-EV-001_THE_PYGMALION_MACHINE,true,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,WARN,LEAVE
CL-MIG-001,C:\Users\steve\My Drive\The Gradient\CRISIS_LITURGIES\00_PROJECT_CONTROL_CL_OPS_001\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,86,EXPANSION_VOLUMES,LEGACY_TOPOLOGY_REF,EXPANSION_VOLUMES,unknown,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_00_EVIDENCE\CL_PHASE_00_SOURCE_ROOT_MAP_2026-07-13.json,WARN,LEAVE
