execution_record_id,ratification_decision_id,source_absolute_path,source_sha256,source_bytes,source_modified_time_utc,exact_destination_path,destination_exists_after,destination_type_after,destination_bytes,destination_modified_time_utc,destination_sha256,hash_match,byte_count_match,source_exists_after,source_sha256_after,source_unchanged,copy_status
DEST-ART-036,RAT-FILE-CL-020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,661ceb80321000c9c69313c66c2b1b64c07efbe3ba16fbe23900c82bf030dc3b,7746,2026-07-13T20:11:37.342Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,YES,FILE,7746,2026-07-13T20:11:37.342Z,661ceb80321000c9c69313c66c2b1b64c07efbe3ba16fbe23900c82bf030dc3b,YES,YES,YES,661ceb80321000c9c69313c66c2b1b64c07efbe3ba16fbe23900c82bf030dc3b,YES,VERIFIED_COPY
DEST-ART-037,RAT-FILE-CL-021,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,c4b4ddd98e3ee9f98d72f67270ba95db71bb751c14ff128105601beb5c04f491,2690,2026-07-13T20:11:37.342Z,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,YES,FILE,2690,2026-07-13T20:11:37.342Z,c4b4ddd98e3ee9f98d72f67270ba95db71bb751c14ff128105601beb5c04f491,YES,YES,YES,c4b4ddd98e3ee9f98d72f67270ba95db71bb751c14ff128105601beb5c04f491,YES,VERIFIED_COPY
