execution_record_id,ratification_decision_id,source_absolute_path,source_filename,source_exists,source_readable,source_bytes,source_modified_time_utc,authorized_source_sha256,source_sha256_immediate,source_hash_match,exact_destination_path,destination_exists_before,destination_type_before,destination_parent_child_count_before
DEST-ART-036,RAT-FILE-CL-020,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,YES,YES,7746,2026-07-13T20:11:37.342Z,661ceb80321000c9c69313c66c2b1b64c07efbe3ba16fbe23900c82bf030dc3b,661ceb80321000c9c69313c66c2b1b64c07efbe3ba16fbe23900c82bf030dc3b,YES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_MIGRATION_MANIFEST_SCHEMA.json,NO,ABSENT,0
DEST-ART-037,RAT-FILE-CL-021,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\CL_PHASE_02C_PLANNING_REPAIR\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,YES,YES,2690,2026-07-13T20:11:37.342Z,c4b4ddd98e3ee9f98d72f67270ba95db71bb751c14ff128105601beb5c04f491,c4b4ddd98e3ee9f98d72f67270ba95db71bb751c14ff128105601beb5c04f491,YES,C:\Users\steve\Projects\gradient-institution\CRISIS_LITURGIES\00_PROJECT_CONTROL\05_BUILDER_CONTRACTS\CL_PHASE_02C_EXTERNAL_BINARY_REFERENCE_SCHEMA.json,NO,ABSENT,0
